Crash ID,State,Month,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20213078,Queensland,6,Wednesday,23:00,Multiple,No,No,Yes,80,Passenger,Male,55,Inner Regional Australia,Central Queensland,Gladstone (R),National or State Highway,No,No,40_to_64,Weekday,Night
20213181,Queensland,6,Wednesday,21:00,Multiple,No,No,No,100,Driver,Male,48,Outer Regional Australia,Wide Bay,South Burnett (R),Sub-arterial Road,No,No,40_to_64,Weekday,Night
20211003,New South Wales,6,Wednesday,13:28,Multiple,No,Yes,No,100,Passenger,Female,77,Inner Regional Australia,Central West,Lithgow,National or State Highway,No,No,75_or_older,Weekday,Day
20217005,Northern Territory,6,Thursday,22:45,Single,No,No,No,110,Driver,Male,60,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Arterial Road,No,No,40_to_64,Weekday,Night
20217006,Northern Territory,6,Wednesday,18:30,Single,No,No,No,110,Driver,Male,16,Very Remote Australia,Northern Territory - Outback,Central Desert (R),Sub-arterial Road,No,No,0_to_16,Weekday,Night
20211097,New South Wales,6,Tuesday,13:06,Single,No,No,No,110,Passenger,Female,78,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway,No,No,75_or_older,Weekday,Day
20214019,South Australia,6,Tuesday,23:30,Multiple,No,No,No,110,Pedestrian,Female,44,Major Cities of Australia,Adelaide - North,Light (RegC),National or State Highway,No,No,40_to_64,Weekday,Night
20213009,Queensland,6,Wednesday,18:00,Single,No,No,No,100,Passenger,Male,48,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday (R),Sub-arterial Road,No,No,40_to_64,Weekday,Night
20211138,New South Wales,6,Monday,19:15,Multiple,No,No,No,100,Motorcycle rider,Male,50,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,No,No,40_to_64,Weekday,Night
20217005,Northern Territory,6,Thursday,22:45,Single,No,No,No,110,Other/-9,Male,54,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Arterial Road,No,No,40_to_64,Weekday,Night
20217005,Northern Territory,6,Thursday,22:45,Single,No,No,No,110,Other/-9,Female,48,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Arterial Road,No,No,40_to_64,Weekday,Night
20211010,New South Wales,6,Wednesday,6:20,Multiple,Yes,No,No,60,Driver,Female,25,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,No,No,17_to_25,Weekday,Day
20213075,Queensland,6,Wednesday,0:00,Multiple,No,No,No,100,Driver,Female,26,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,26_to_39,Weekday,Night
20213075,Queensland,6,Wednesday,0:00,Multiple,No,No,No,100,Pedestrian,Male,23,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,17_to_25,Weekday,Night
20212158,Victoria,6,Wednesday,8:15,Single,No,No,No,100,Driver,Female,20,Inner Regional Australia,Warrnambool and South West,Corangamite (S),Local Road,No,No,17_to_25,Weekday,Day
20212114,Victoria,6,Wednesday,7:06,Multiple,No,Yes,No,80,Motorcycle rider,Male,22,Major Cities of Australia,Melbourne - South East,Monash (C),National or State Highway,No,No,17_to_25,Weekday,Day
20215063,Western Australia,6,Tuesday,8:51,Single,No,No,No,110,Driver,Male,17,,,,,No,No,17_to_25,Weekday,Day
20211170,New South Wales,6,Thursday,6:55,Single,No,No,No,100,Driver,Female,17,Outer Regional Australia,New England and North West,Tamworth Regional,National or State Highway,No,No,17_to_25,Weekday,Day
20213068,Queensland,6,Thursday,7:00,Multiple,No,No,No,110,Motorcycle rider,Male,27,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,26_to_39,Weekday,Day
20214048,South Australia,6,Friday,11:50,Single,No,No,No,100,Passenger,Male,36,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula (DC),Local Road,No,No,26_to_39,Weekday,Day
20215108,Western Australia,6,Wednesday,11:01,Multiple,No,No,No,110,Driver,Male,88,,,,,No,No,75_or_older,Weekday,Day
20211065,New South Wales,6,Wednesday,13:14,Single,No,No,No,50,Driver,Female,75,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No,75_or_older,Weekday,Day
20215043,Western Australia,6,Thursday,23:30,Single,No,No,No,60,Driver,Female,25,,,,,No,No,17_to_25,Weekday,Night
20214029,South Australia,6,Thursday,19:40,Multiple,No,No,No,60,Motorcycle rider,Male,19,Major Cities of Australia,Adelaide - South,Marion (C),Sub-arterial Road,No,No,17_to_25,Weekday,Night
20212037,Victoria,6,Sunday,11:52,Single,No,No,No,60,Pedestrian,Male,68,Major Cities of Australia,Melbourne - South East,Monash (C),Local Road,No,No,65_to_74,Weekend,Day
20211001,New South Wales,6,Saturday,13:25,Single,No,No,No,40,Pedestrian,Female,83,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Local Road,No,No,75_or_older,Weekend,Day
20212094,Victoria,6,Tuesday,9:00,Single,No,No,No,60,Pedestrian,Male,1,Major Cities of Australia,Melbourne - West,Hobsons Bay (C),Local Road,No,No,0_to_16,Weekday,Day
20212088,Victoria,6,Saturday,19:49,Single,No,No,No,60,Pedestrian,Female,81,Major Cities of Australia,Melbourne - Inner South,Stonnington (C),National or State Highway,No,No,75_or_older,Weekend,Night
20213022,Queensland,6,Tuesday,18:00,Multiple,No,No,Yes,100,Driver,Male,27,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,26_to_39,Weekday,Night
20212019,Victoria,6,Monday,8:34,Single,No,No,No,50,Pedestrian,Female,53,Major Cities of Australia,Melbourne - South East,Casey (C),Collector Road,No,No,40_to_64,Weekday,Day
20211114,New South Wales,6,Monday,14:50,Single,No,No,No,60,Pedestrian,Male,68,Major Cities of Australia,Sydney - Parramatta,Cumberland,Busway,No,No,65_to_74,Weekday,Day
20211080,New South Wales,6,Wednesday,17:45,Single,No,No,No,50,Pedestrian,Male,69,Inner Regional Australia,Riverina,Wagga Wagga,Local Road,No,No,65_to_74,Weekday,Day
20212006,Victoria,6,Friday,17:45,Single,No,No,No,50,Pedestrian,Female,75,Inner Regional Australia,Warrnambool and South West,Warrnambool (C),Arterial Road,No,No,75_or_older,Weekday,Day
20211151,New South Wales,6,Thursday,17:50,Single,No,No,No,60,Pedestrian,Male,83,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,No,No,75_or_older,Weekday,Day
20218001,Australian Capital Territory,6,Friday,17:15,Single,No,No,No,50,Pedestrian,Male,84,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Local Road,No,No,75_or_older,Weekday,Day
20212044,Victoria,6,Tuesday,7:00,Single,No,No,No,60,Pedestrian,Female,84,Major Cities of Australia,Geelong,Greater Geelong (C),Collector Road,No,No,75_or_older,Weekday,Day
20212118,Victoria,6,Tuesday,7:31,Single,No,No,No,,Pedestrian,Male,79,Inner Regional Australia,Geelong,Greater Geelong (C),Local Road,No,No,75_or_older,Weekday,Day
20214056,South Australia,6,Wednesday,21:55,Single,No,No,No,50,Pedestrian,Male,70,Major Cities of Australia,Adelaide - Central and Hills,Unley (C),Sub-arterial Road,No,No,65_to_74,Weekday,Night
20212113,Victoria,6,Wednesday,9:14,Single,No,No,No,70,Pedestrian,Female,80,Major Cities of Australia,Melbourne - Inner South,Glen Eira (C),National or State Highway,No,No,75_or_older,Weekday,Day
20211066,New South Wales,6,Friday,12:05,Single,No,No,No,70,Pedestrian,Male,89,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,No,No,75_or_older,Weekday,Day
20215006,Western Australia,5,Saturday,23:25,Single,No,No,No,110,Passenger,Male,12,,,,,No,No,0_to_16,Weekend,Night
20211132,New South Wales,5,Saturday,20:55,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,New England and North West,Uralla,Arterial Road,No,No,17_to_25,Weekend,Night
20211069,New South Wales,5,Saturday,4:45,Single,No,No,No,110,Passenger,Female,57,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,40_to_64,Weekend,Night
20212109,Victoria,5,Saturday,2:30,Single,No,No,No,60,Driver,Female,23,Inner Regional Australia,Melbourne - North East,Nillumbik (S),Arterial Road,No,No,17_to_25,Weekend,Night
20215044,Western Australia,5,Saturday,23:39,Single,No,No,No,60,Driver,Male,44,,,,,No,No,40_to_64,Weekend,Night
20217020,Northern Territory,5,Sunday,2:13,Multiple,No,No,No,70,Passenger,Female,36,Outer Regional Australia,Darwin,Darwin (C),Arterial Road,No,No,26_to_39,Weekend,Night
20217001,Northern Territory,5,Friday,19:45,Multiple,No,No,No,130,Driver,Male,29,Very Remote Australia,Northern Territory - Outback,Victoria Daly (R),National or State Highway,No,No,26_to_39,Weekend,Night
20211006,New South Wales,5,Friday,4:37,Multiple,No,No,Yes,110,Passenger,Male,29,Outer Regional Australia,Mid North Coast,Kempsey,National or State Highway,No,No,26_to_39,Weekday,Night
20215019,Western Australia,5,Friday,23:00,Single,No,No,No,110,Driver,Female,26,,,,,No,No,26_to_39,Weekend,Night
20212063,Victoria,5,Tuesday,21:08,Single,No,No,No,80,Driver,Female,57,Inner Regional Australia,Melbourne - North East,Whittlesea (C),Arterial Road,No,No,40_to_64,Weekday,Night
20211062,New South Wales,5,Friday,18:20,Single,No,No,No,60,Driver,Male,45,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No,40_to_64,Weekend,Night
20213029,Queensland,5,Friday,23:00,Single,No,No,No,100,Passenger,Female,46,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs (R),Local Road,No,No,40_to_64,Weekend,Night
20211184,New South Wales,5,Sunday,1:00,Single,No,No,No,50,Motorcycle rider,Male,16,Outer Regional Australia,Richmond - Tweed,Kyogle,Local Road,No,No,0_to_16,Weekend,Night
20214010,South Australia,5,Sunday,20:32,Multiple,No,No,No,100,Motorcycle rider,Male,17,Inner Regional Australia,South Australia - South East,Mid Murray (DC),Local Road,No,No,17_to_25,Weekend,Night
20212112,Victoria,5,Saturday,8:38,Single,No,No,No,100,Driver,Male,37,Inner Regional Australia,Ballarat,Moorabool (S),Arterial Road,No,No,26_to_39,Weekend,Day
20215105,Western Australia,5,Thursday,10:14,Single,No,No,No,110,Driver,Male,64,,,,,No,No,40_to_64,Weekday,Day
20211166,New South Wales,5,Sunday,6:52,Single,No,No,No,100,Driver,Male,45,Outer Regional Australia,Murray,Greater Hume,Arterial Road,No,No,40_to_64,Weekend,Day
20212081,Victoria,5,Saturday,12:59,Single,No,No,No,80,Motorcycle rider,Male,43,Inner Regional Australia,Melbourne - North East,Mitchell (S),Collector Road,No,No,40_to_64,Weekend,Day
20217012,Northern Territory,5,Saturday,13:29,Multiple,No,No,No,80,Driver,Female,58,Outer Regional Australia,Darwin,Litchfield (M),Arterial Road,No,No,40_to_64,Weekend,Day
20215026,Western Australia,5,Friday,10:37,Multiple,No,No,Yes,110,Motorcycle rider,Male,55,,,,,No,No,40_to_64,Weekday,Day
